"","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1"
"benB",0.954840465922604,0.955655135328912,0.769350649350649,1.91853184598777,4.94582560296846,1.92240571140117,0,0,0,0,1.27367415193502,2.18699409319624
"benD",1.29365482479837,1.07896547537135,1.73724340175953,2.16608434224425,2.79199832425639,0,0,1.33447468012254,3.93023530105561,3.59504800949401,0,2.46918687941511
"Beta glucosidase",1.03909109526872,1.05403139925983,0.678838808250573,1.26961666278602,0.727327294554185,1.41353361132439,0.533373349339736,1.56436317543777,1.02384280951869,1.40478766757539,1.12383013406031,0.75043914962616
"bglH",0.589754405422785,0.983762639309174,0.791978609625668,0,7.63693659281895,0.989473527927072,0,0,1.79172491665771,3.27783789100925,2.6222703128074,0.75043914962616
"bglP",1.0553499886513,0.880208677276629,0,0.883534402757523,2.27768284347232,0,3.3406015037594,1.08865039694208,0,0,0.586560464706918,0
"bla",0.902197170272879,1.08101674053366,1.58696854476322,1.34041911292871,0.987284578539331,1.21520893353781,1.6893536121673,1.10106846230643,1.04233426710505,0.423750906062032,1.01700217454888,1.26119431229948
"BpH",1.27780121174937,0.860792309395527,0.593983957219251,0.740609719958512,0,0,0,0,0.895862458328853,0.819459472752312,0.491675683651387,0.37521957481308
"bphA",0.987071367725899,1.76413131521687,2.15872650556195,1.55830118292255,1.82599046523097,0.70974894408271,1.07124773960217,2.26917002569361,1.5422442320598,3.29166843063376,2.06904872782693,1.61486905615756
"bphC",1.17419570809401,0.903998100986809,1.81941031941032,3.62965484376064,2.33924183924184,1.36386891687245,1.71544401544402,0.559036690321607,0,0,1.20482690047907,1.72398183022226
"bphD",1.13111870578524,2.0583341376315,1.2427972027972,0.516527804689014,0,1.55271230536248,1.95296703296703,0.636441770519983,4.68604978202784,0,1.71456135837407,1.57014960537166
"bphF",0.974732975629325,2.26470357590966,1.68295454545455,1.39892947103275,1.80316558441558,2.8035083291267,0,0.861848230912477,2.53827696526508,1.16090091973244,0.928720735785953,0.797341596477795
"CadA",0.875435853371868,0.973536416447332,1.11963711963712,1.95442953125573,1.43953343953344,0.979187940318682,1.05565785565786,1.3760903146378,1.89974991163291,2.08527732775224,1.6682218622018,1.32613986940174
"cadBD",0.175891664775217,0.660156507957472,1.41722488038278,0.441767201378762,0,0.885318419724222,0,1.08865039694208,2.40468344077745,0,1.75968139412075,0.335722777464335
"cap",0.644747581491148,0.699072486454429,0.865828705057001,1.29547166449335,0.556604167536643,0.865391638572873,0,0.798110258851425,0.979399472128006,0.71669767391842,1.29005581305316,1.14858210682332
"catA",1.32337538259449,1.71850265563532,1.28225108225108,1.59877653832314,1.30153305341275,2.52948119921206,1.59076262083781,1.14049089203456,1.83213976440186,1.95520154902306,1.62002414061911,1.53473269697982
"catB",1.20572011775325,0.983762639309174,0.739180035650624,1.57996740257816,0,0.923508626065267,0.99563025210084,1.13561178661409,0.477793311108721,1.3111351564037,0.961499114696046,2.00117106566976
