"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"num_of_genes",9971,3985,2475,1985,770,1981,525,1611,1094,598,2990,2612
"prop_of_genes",32.59,13.02,8.09,6.49,2.52,6.47,1.72,5.27,3.58,1.95,9.77,8.54
